date, pm25, pm10, no2, co
2024/5/1, 49, 22, 12, 
2024/5/2, 45, 25, 14, 
2024/5/3, 53, 23, 12, 
2024/5/4, 49, 20, 8, 
2024/5/5, 51, 17, 9, 
2024/5/6, 48, 15, 12, 
2024/5/7, 42, 18, 13, 
2024/5/8, 43, 22, 19, 
2024/5/9, 51, 22, 16, 
2024/5/10, 55, 21, 13, 
2024/5/11, 58, 14, 12, 
2024/5/12, 35, 16, 12, 
2024/5/13, 38, 22, 14, 
2024/5/14, 46, 26, 11, 
2024/5/15, 48, 27, 11, 
2024/5/16, 51, 28, 9, 
2024/5/17, 50, 17, 9, 
2024/5/18, 50, 17, 8, 
2024/5/19, 54, 16, 11, 
2024/5/20, 52, 18, 12, 
2024/5/21, 52, 23, 9, 
2024/5/22, 67, , , 
2024/4/1, 109, 23, 7, 
2024/4/2, 52, 10, 8, 
2024/4/3, 29, 13, 11, 
2024/4/4, 45, 13, 12, 
2024/4/5, 36, 17, 10, 
2024/4/6, 51, 22, 9, 
2024/4/7, 64, 13, 5, 
2024/4/8, 36, 16, 5, 
2024/4/9, 37, 26, 10, 
2024/4/10, 62, 22, 12, 
2024/4/11, 57, 25, 13, 
2024/4/12, 64, 27, 10, 
2024/4/13, 65, 23, 7, 
2024/4/14, 58, 19, 13, 
2024/4/15, 63, 17, 11, 
2024/4/16, 51, 22, 11, 
2024/4/17, 62, 14, 9, 
2024/4/18, 44, 15, 9, 
2024/4/19, 50, 12, 6, 
2024/4/20, 41, 24, 7, 
2024/4/21, 78, 18, 10, 
2024/4/22, 63, 26, 13, 
2024/4/23, 77, 25, 13, 
2024/4/24, 78, 23, 14, 
2024/4/25, 74, 21, 11, 
2024/4/26, 64, 15, 8, 
2024/4/27, 51, 25, 11, 
2024/4/28, 71, 24, 19, 
2024/4/29, 48, 28, 16, 
2024/4/30, 51, 26, 10, 
2024/1/7, 53, 28, 15, 
2024/1/8, 88, 68, 25, 
2024/1/9, 169, 88, 28, 
2024/1/10, 189, 50, 20, 
2024/1/11, 136, 24, 15, 
2024/1/12, 76, 25, 9, 
2024/1/13, 81, 24, 7, 
2024/1/14, 79, 20, 10, 
2024/1/15, 69, 20, 14, 
2024/1/16, 68, 18, 9, 
2024/1/17, 65, 18, 12, 
2024/1/18, 59, 30, 15, 
2024/1/19, 93, 21, 9, 
2024/1/20, 63, 23, 8, 
2024/1/21, 77, 21, 4, 
2024/1/22, 66, 23, 10, 
2024/1/23, 76, 20, 7, 
2024/1/24, 70, 7, 8, 
2024/1/25, 32, 18, 13, 
2024/1/26, 57, 9, 7, 
2024/1/27, 41, 15, 10, 
2024/1/28, 56, 28, 12, 
2024/1/29, 78, 17, 5, 
2024/1/30, 57, 32, 10, 
2024/1/31, 91, 29, 10, 
2024/2/1, 87, 22, 13, 
2024/2/2, 63, 13, 6, 
2024/2/3, 51, 8, 5, 
2024/2/4, 33, 8, 10, 
2024/2/5, 33, 17, 8, 
2024/2/6, 47, 9, 5, 
2024/2/7, 34, 17, 9, 
2024/2/8, 57, 22, 10, 
2024/2/9, 71, 23, 5, 
2024/2/10, 71, 15, 1, 
2024/2/11, 50, 20, 11, 
2024/2/12, 64, 21, 7, 
2024/2/13, 64, 29, 12, 
2024/2/14, 74, 55, 15, 
2024/2/15, 122, 53, 13, 
2024/2/16, 113, 25, 5, 
2024/2/17, 73, 16, 4, 
2024/2/18, 52, 22, 5, 
2024/2/19, 71, 12, 7, 
2024/2/20, 48, 18, 7, 
2024/2/21, 56, 16, 2, 
2024/2/22, 54, 12, 3, 
2024/2/23, 47, 22, 10, 
2024/2/24, 63, 15, 3, 
2024/2/25, 50, 29, 10, 
2024/2/26, 74, 38, 12, 
2024/2/27, 84, 51, 18, 
2024/2/28, 114, 64, 20, 
2024/2/29, 148, 51, 12, 
2024/3/1, 129, 45, 10, 
2024/3/2, 118, 47, 8, 
2024/3/3, 118, 41, 10, 
2024/3/4, 108, 37, 10, 
2024/3/5, 99, 23, 10, 
2024/3/6, 75, 35, 12, 
2024/3/7, 90, 47, 20, 
2024/3/8, 108, 53, 13, 
2024/3/9, 124, 29, 11, 
2024/3/10, 84, 29, 14, 
2024/3/11, 87, 30, 14, 
2024/3/12, 86, 18, 11, 
2024/3/13, 63, 31, 12, 
2024/3/14, 84, 36, 13, 
2024/3/15, 89, 33, 8, 
2024/3/16, 92, 15, 4, 
2024/3/17, 51, 16, 10, 
2024/3/18, 47, 26, 9, 
2024/3/19, 71, 34, 12, 
2024/3/20, 90, 52, 11, 
2024/3/21, 121, 37, 12, 
2024/3/22, 100, 20, 7, 
2024/3/23, 64, 17, 9, 
2024/3/24, 56, 18, 11, 
2024/3/25, 57, 18, 8, 
2024/3/26, 55, 18, 7, 
2024/3/27, 44, 28, 8, 
2024/3/28, 53, 8, 5, 
2024/3/29, 26, 38, 3, 
2024/3/30, 62, 31, 2, 
2024/3/31, 52, 73, 2, 
2023/10/1, 52, 18, 11, 
2023/10/2, 56, 20, 6, 
2023/10/3, 51, 14, 12, 
2023/10/4, 41, 16, 13, 
2023/10/5, 52, 17, 14, 
2023/10/6, 55, 13, 7, 
2023/10/7, 45, 6, 6, 
2023/10/8, 23, 11, 9, 
2023/10/9, 40, 16, 11, 
2023/10/10, 55, 17, 6, 
2023/10/11, 56, 21, 7, 
2023/10/12, 62, 21, 9, 
2023/10/13, 63, 26, 6, 
2023/10/14, 70, 11, 8, 
