date, pm25, pm10, o3, no2, so2, co
2024/5/1, 36, 15, 41, 4, 1, 
2024/5/2, 32, 16, 46, 10, 1, 
2024/5/3, 39, 21, 48, 9, 1, 
2024/5/4, 49, 20, 43, 10, 1, 
2024/5/5, 49, 10, 34, 7, 1, 
2024/5/6, 28, 12, 34, 5, 1, 
2024/5/7, 33, 12, 37, 2, 1, 
2024/5/8, 28, 17, 45, 11, 1, 
2024/5/9, 44, 23, 47, 15, 2, 
2024/5/10, 51, 20, 28, 13, 1, 
2024/5/11, 53, 11, 39, 4, 1, 
2024/5/12, 24, 12, 43, 9, 1, 
2024/5/13, 32, 14, 41, 7, 1, 
2024/5/14, 37, 17, 39, 3, 1, 
2024/5/15, 35, 16, 37, 3, 1, 
2024/5/16, 38, 19, 38, 4, 1, 
2024/5/17, 40, 11, 42, 9, 1, 
2024/5/18, 35, 9, 34, 9, 1, 
2024/5/19, 30, 14, 36, 12, 1, 
2024/5/20, 38, 19, 42, 9, 1, 
2024/5/21, 51, 17, 23, 7, 2, 
2024/4/1, 121, 16, 24, 7, 2, 
2024/4/2, 32, 10, 36, 4, 1, 
2024/4/3, 19, 9, 29, 11, 1, 
2024/4/4, 28, 11, 35, 9, 1, 
2024/4/5, 25, 16, 33, 10, 1, 
2024/4/6, 38, 18, 34, 10, 1, 
2024/4/7, 55, 14, 38, 14, 1, 
2024/4/8, 45, 24, 38, 16, 2, 
2024/4/9, 61, 28, 22, 12, 1, 
2024/4/10, 56, 23, 28, 11, 1, 
2024/4/11, 49, 26, 39, 15, 2, 
2024/4/12, 64, 23, 35, 14, 1, 
2024/4/13, 61, 20, 35, 9, 1, 
2024/4/14, 58, 19, 24, 11, 1, 
2024/4/15, 45, 14, 33, 8, 1, 
2024/4/16, 33, 13, 20, 13, 2, 
2024/4/17, 45, 20, 28, 10, 1, 
2024/4/18, 53, 13, 31, 7, 2, 
2024/4/19, 40, 6, 27, 5, 1, 
2024/4/20, 14, 11, 22, 4, 1, 
2024/4/21, 31, 15, 29, 6, 1, 
2024/4/22, 41, 18, 32, 4, 1, 
2024/4/23, 61, 30, 21, 10, 2, 
2024/4/24, 72, 19, 35, 10, 2, 
2024/4/25, 58, 14, 38, 13, 1, 
2024/4/26, 50, 19, 38, 15, 2, 
2024/4/27, 57, 18, 40, 11, 1, 
2024/4/28, 54, 17, 44, 12, 1, 
2024/4/29, 53, 21, 43, 11, 1, 
2024/4/30, 48, 16, 45, 9, 1, 
2024/1/7, 49, 36, 14, 13, 2, 
2024/1/8, 79, 58, 14, 19, 3, 
2024/1/9, 125, 96, 3, 44, 3, 
2024/1/10, 189, 66, 13, 25, 10, 
2024/1/11, 143, 26, 20, 15, 4, 
2024/1/12, 64, 14, 22, 6, 3, 
2024/1/13, 55, 11, 21, 7, 2, 
2024/1/14, 49, 10, 24, 7, 2, 
2024/1/15, 38, 12, 22, 16, 1, 
2024/1/16, 40, 21, 11, 29, 3, 
2024/1/18, 83, 25, 20, 14, 3, 
2024/1/19, 69, 20, 27, 9, 3, 
2024/1/20, 60, 30, 24, 16, 3, 
2024/1/21, 79, 26, 29, 34, 2, 
2024/1/22, 110, 17, 22, 13, 2, 
2024/1/23, 55, 10, 30, 10, 2, 
2024/1/24, 32, 14, 30, 5, 1, 
2024/1/25, 27, 18, 24, 16, 2, 
2024/1/26, 51, 12, 30, 5, 1, 
2024/1/27, 31, 26, 15, 14, 1, 
2024/1/28, 69, 26, 7, 23, 1, 
2024/1/29, 84, 43, 5, 28, 2, 
2024/1/30, 142, 47, 3, 23, 5, 
2024/1/31, 141, 38, 20, 15, 3, 
2024/2/1, 110, 19, 22, 10, 2, 
2024/2/2, 58, 13, 22, 4, 2, 
2024/2/3, 38, 7, 28, 3, 2, 
2024/2/4, 21, 9, 29, 5, 2, 
2024/2/5, 19, 16, 27, 5, 2, 
2024/2/6, 41, 10, 28, 6, 2, 
2024/2/7, 23, 13, 24, 12, 2, 
2024/2/8, 47, 28, 10, 13, 1, 
2024/2/9, 78, 27, 13, 18, 2, 
2024/2/10, 92, 25, 13, 16, 2, 
2024/2/11, 69, 15, 13, 15, 2, 
2024/2/12, 41, 27, 17, 15, 3, 
2024/2/13, 65, 26, 25, 21, 3, 
2024/2/14, 76, 31, 19, 23, 2, 
2024/2/15, 94, 35, 13, 21, 2, 
2024/2/16, 104, 26, 16, 13, 2, 
2024/2/17, 103, 16, 25, 5, 1, 
2024/2/18, 45, 25, 24, 12, 1, 
2024/2/19, 76, 8, 22, 9, 1, 
2024/2/20, 38, 12, 21, 13, 1, 
2024/2/21, 51, 14, 29, 12, 1, 
2024/2/22, 64, 10, 23, 17, 1, 
2024/2/23, 34, 19, 25, 12, 2, 
2024/2/24, 44, 30, 25, 15, 1, 
2024/2/25, 82, 25, 26, 18, 2, 
2024/2/26, 81, 42, 12, 21, 2, 
2024/2/27, 103, 47, 2, 23, 3, 
2024/2/28, 115, 44, 12, 8, 2, 
2024/3/1, 158, 44, 5, 15, 2, 
2024/3/2, 139, 33, 30, 7, 2, 
2024/3/3, 110, 44, 13, 12, 2, 
2024/3/4, 129, 32, 8, 8, 1, 
2024/3/5, 80, 27, 15, 11, 1, 
2024/3/6, 83, 32, 25, 5, 1, 
2024/3/7, 86, 33, 25, 9, 1, 
2024/3/8, 101, 40, 20, 12, 1, 
2024/3/9, 121, 26, 26, 5, 2, 
2024/3/10, 84, 22, 23, 8, 2, 
2024/3/11, 68, 29, 8, 9, 1, 
2024/3/12, 78, 17, 6, 14, 1, 
2024/3/13, 55, 36, 12, 13, 1, 
2024/3/14, 94, 34, 21, 14, 1, 
2024/3/15, 93, 20, 27, 14, 1, 
2024/3/16, 74, 14, 33, 4, 1, 
2024/3/17, 33, 13, 28, 7, 1, 
2024/3/18, 37, 18, 28, 8, 1, 
2024/3/19, 54, 36, 25, 16, 2, 
2024/3/20, 109, 55, 24, 22, 4, 
