date, pm10, no2, co
2015/5/17, 19, 10, 3
2015/5/18, 19, 15, 5
2015/5/19, 30, 17, 6
2015/5/20, 38, 8, 3
2015/5/21, 19, 11, 3
2015/5/22, 19, 12, 3
2015/5/23, 21, 9, 4
2015/5/24, 22, 16, 5
2015/5/25, 30, 11, 4
2015/5/26, 31, 7, 2
2015/5/27, 13, 8, 2
2015/5/28, 16, 13, 4
2015/5/29, 25, 9, 3
2015/5/30, 23, 6, 2
2015/5/31, 12, 11, 3
2015/6/1, 20, 11, 4
2015/6/2, 23, 10, 4
2015/6/3, 18, 3, 3
2015/6/4, 17, 10, 3
2015/6/5, 16, 6, 3
2015/6/6, 20, 7, 3
2015/6/7, 25, 7, 4
2015/6/8, 17, 7, 5
2015/6/9, 19, 8, 5
2015/6/10, 19, 16, 4
2015/6/11, 24, 15, 3
2015/6/12, 34, 11, 3
2015/6/13, 28, 6, 2
2015/6/14, 27, 13, 3
2015/6/15, 24, 6, 2
2015/6/16, 15, 8, 2
2015/6/17, 20, 10, 3
2015/6/18, 22, 7, 3
2015/6/19, 17, 8, 3
2015/6/20, 14, 5, 3
2015/6/21, 14, 9, 3
2015/6/22, 18, 8, 3
2015/6/23, 14, 7, 3
2015/6/24, 13, 9, 3
2015/6/25, 16, 14, 4
2015/6/26, 26, 13, 5
2015/6/27, 29, 13, 4
2015/6/28, 28, 7, 3
2015/6/29, 22, 15, 3
2015/6/30, 20, 11, 5
2017/9/9, , 9, 5
2016/4/7, , 17, 5
2015/12/31, , 10, 7
2015/4/30, , 8, 4
