date, pm10, o3, no2, so2
2023/11/6, 4, 25, 3, 3
2023/11/7, 7, 24, 4, 5
2023/11/8, 9, 28, 1, 3
2023/11/9, 7, 28, 1, 3
2023/11/10, 7, 20, 5, 3
2023/11/11, 9, 21, 3, 3
2023/11/12, 6, 21, 2, 2
2023/11/13, 6, 25, 2, 3
2023/11/14, 8, 24, 5, 3
2023/11/15, 6, 22, 3, 2
2023/11/16, 5, 21, 8, 2
2023/11/17, 8, 18, 7, 3
2023/11/18, 8, 19, 1, 3
2023/11/19, 5, 19, 4, 4
2023/11/20, 5, 18, 7, 5
2023/11/21, 9, 13, 9, 4
2023/11/22, 14, 23, 3, 3
2023/11/23, 10, 24, 4, 3
2023/11/24, 5, 21, 7, 2
2023/11/25, 8, 22, 7, 2
2023/11/26, 9, 16, 5, 2
2023/11/27, 8, 14, 10, 2
2023/11/28, 16, 19, 8, 3
2023/11/29, 19, 20, 5, 1
2023/11/30, 14, 6, 19, 4
2023/12/1, 54, 11, 14, 3
2023/12/2, 25, 15, 8, 6
2023/12/3, 13, 23, 3, 
2023/12/4, 8, 22, 6, 2
2023/12/5, 12, 4, 28, 11
2023/12/6, 73, 4, 23, 9
2023/12/7, 65, 18, 9, 3
2023/12/8, 20, 22, 3, 1
2023/12/9, 10, 23, 2, 2
2023/12/10, 8, 24, 3, 
2023/12/11, 6, 25, 5, 3
2023/12/12, 7, 26, 4, 
2023/12/13, 8, 3, 12, 2
2023/12/14, 24, 10, 8, 1
2023/12/15, 14, 20, 5, 1
2023/12/16, 11, 19, 2, 
2023/12/17, 9, 23, 3, 
2023/12/18, 7, 25, 3, 
2023/12/19, 7, 22, 4, 1
2023/12/20, 7, 21, 2, 
2023/12/21, 3, 28, 3, 3
2023/12/22, 6, 28, 4, 3
2023/12/23, 5, 24, 3, 2
2023/12/24, 4, 24, 2, 1
2023/12/25, 3, 24, 2, 1
2023/12/26, 4, 26, 4, 4
2023/12/27, 6, 25, 2, 
2023/12/28, 9, 24, 2, 1
2023/7/1, 16, 39, 3, 3
2023/7/2, 9, 28, 2, 3
2023/7/3, 14, 38, 2, 3
2023/7/4, 14, 37, 1, 3
2023/7/5, 10, 40, 2, 3
2023/7/6, 11, 49, 3, 3
2023/7/7, 15, 49, 2, 3
2023/7/8, 13, 60, 2, 3
2023/7/9, 17, 51, 4, 3
2023/7/10, 19, 45, 2, 3
2023/7/11, 12, 44, 2, 4
2023/7/12, 11, 28, 2, 3
2023/7/13, 9, 39, 2, 3
2023/7/14, 11, 44, 1, 3
2023/7/15, 11, 49, 1, 3
2023/7/16, 18, 32, 2, 3
2023/7/17, 13, 43, 2, 3
2023/7/18, 12, 53, 2, 5
2023/7/19, 18, 38, 2, 3
2023/7/20, 10, 33, 2, 3
2023/7/21, 9, 33, 2, 4
2023/7/22, 11, 45, 1, 3
2023/7/23, 10, 44, 1, 3
2023/7/24, 10, 28, 3, 3
2023/7/25, 8, 21, 3, 3
2023/7/26, 7, 37, 2, 4
2023/7/27, 6, 34, 1, 4
2023/7/28, 5, 24, 1, 3
2023/7/29, 4, 28, 3, 5
2023/7/30, 6, 32, 3, 3
2023/7/31, 7, 33, 1, 
2023/8/1, 7, 35, 1, 
2023/8/2, 5, 33, 1, 1
2023/8/3, 6, 29, 2, 2
2023/8/4, 7, 20, 6, 1
2023/8/5, 10, 26, 4, 2
2023/8/6, 2, 24, 2, 2
2023/8/7, 4, 28, 2, 2
2023/8/8, 6, 29, 1, 2
2023/8/9, 7, 37, 2, 2
2023/8/10, 6, 42, 3, 2
2023/8/11, 11, 38, 3, 2
2023/8/12, 10, 38, 1, 2
2023/8/13, 10, 41, 1, 2
2023/8/14, 13, 42, 2, 2
2023/8/15, 13, 39, 2, 2
2023/8/16, 13, 34, 3, 2
2023/8/17, 12, 36, 3, 2
2023/8/18, 10, 36, 2, 2
2023/8/19, 13, 47, 2, 2
2023/8/20, 14, 49, 3, 2
2023/8/21, 16, 41, 3, 2
2023/8/22, 16, 31, 3, 2
2023/8/23, 16, 49, 4, 2
2023/8/24, 13, 47, 1, 2
2023/8/25, 13, 39, 2, 2
2023/8/26, 11, 31, 3, 2
2023/8/27, 11, 19, 4, 2
2023/8/28, 8, 13, 5, 2
2023/8/29, 10, 18, 4, 2
2023/8/30, 5, 27, 2, 2
2023/8/31, 6, 29, 1, 2
2023/9/1, 8, 22, 2, 2
2023/9/2, 6, 29, 2, 2
2023/9/3, 9, 34, 2, 2
2023/9/4, 10, 33, 2, 2
2023/9/5, 10, 42, 3, 2
2023/9/6, 10, 36, 3, 2
2023/9/7, 13, 40, 3, 2
2023/9/8, 13, 47, 3, 2
2023/9/9, 15, 38, 3, 2
2023/9/10, 12, 44, 3, 2
2023/9/11, 16, 39, 4, 2
2023/9/12, 34, 41, 3, 2
2023/9/13, 25, 27, 3, 1
2023/9/14, 8, 28, 3, 1
2023/9/15, 11, 31, 3, 1
2023/9/16, 7, 32, 1, 1
2023/9/17, 7, 38, 1, 1
2023/9/18, 14, 32, 3, 1
2023/9/19, 10, 30, 1, 1
2023/9/20, 6, 36, , 1
2023/9/21, 10, 35, 1, 1
2023/9/22, 13, 24, 4, 1
2023/9/23, 5, 21, 4, 1
2023/9/24, 7, 13, 4, 1
2023/9/25, 8, 24, 4, 1
2023/9/26, 14, 36, 2, 2
2023/9/27, 17, 36, 2, 1
2023/9/28, 17, 41, 3, 1
2023/9/29, 18, 39, 4, 2
2023/9/30, 13, 22, 2, 2
2023/4/3, 10, 31, 5, 1
2023/4/4, 13, 30, 7, 3
2023/4/5, 17, 33, 5, 3
2023/4/6, 25, 29, 7, 3
2023/4/7, 21, 20, 8, 1
2023/4/8, 20, 26, 6, 2
2023/4/9, 24, 28, 6, 3
2023/4/10, 34, 25, 7, 2
2023/4/11, 10, 35, 3, 1
2023/4/12, 9, 36, 6, 2
2023/4/13, 10, 36, 4, 1
2023/4/14, 18, 27, 7, 1
2023/4/15, 6, 36, 2, 1
2023/4/16, 7, 34, 3, 2
2023/4/17, 17, 27, 7, 2
2023/4/18, 10, 34, 3, 1
2023/4/19, 16, 23, 7, 2
2023/4/20, 20, 33, 5, 1
2023/4/21, 19, 50, 4, 1
2023/4/22, 14, 48, 4, 1
2023/4/23, 14, 47, 2, 1
2023/4/24, 14, 43, 2, 1
2023/4/25, 10, 33, 5, 1
2023/4/26, 11, 33, 5, 1
2023/4/27, 15, 36, 4, 1
2023/4/28, 12, 41, 2, 1
2023/4/29, 11, 39, 2, 1
2023/4/30, 10, 36, 5, 1
2023/5/1, 12, 39, 3, 1
2023/5/2, 9, 37, 2, 1
2023/5/3, 15, 19, 5, 1
2023/5/4, 13, 40, 3, 1
2023/5/5, 11, 43, 3, 1
2023/5/6, 12, 39, 2, 1
2023/5/7, 13, 26, 2, 1
2023/5/8, 7, 33, 1, 1
2023/5/9, 9, 34, 1, 1
2023/5/10, 7, 35, 1, 1
2023/5/11, 10, 39, 1, 1
2023/5/12, 11, 36, 2, 1
2023/5/13, 13, 31, 3, 1
2023/5/14, 11, 30, 2, 1
2023/5/15, 7, 28, 2, 1
2023/5/16, 11, 34, 3, 1
2023/5/17, 8, 26, 9, 1
2023/5/18, 12, 22, 6, 1
2023/5/19, 13, 16, 5, 1
2023/5/20, 19, 23, 4, 1
2023/5/21, 17, 37, 2, 1
2023/5/22, 13, 39, 3, 1
2023/5/23, 12, 37, 3, 2
2023/5/24, 14, 20, 4, 1
2023/5/25, 16, 23, 5, 1
2023/5/26, 21, 29, 5, 2
2023/5/27, 17, 39, 4, 2
2023/5/28, 14, 36, 2, 2
