date, pm10, o3, no2, so2, co
2021/9/25, 20, 38, 8, 2, 3
2021/9/26, 25, 30, 7, 2, 4
2021/9/27, 23, 30, 3, 2, 3
2021/9/28, 30, 25, 9, 2, 4
2021/9/29, 26, 19, 8, 1, 3
2021/9/30, 20, 23, 6, 1, 4
2021/4/1, 41, 31, 4, 5, 4
2021/4/2, 31, 28, 3, 5, 4
2021/4/3, 35, 33, 2, 6, 3
2021/4/4, 31, 40, 2, 8, 3
2021/4/5, 30, 34, 3, 7, 3
2021/4/6, 28, 33, 3, 7, 3
2021/4/7, 26, 31, 4, 6, 3
2021/4/8, 17, 38, 7, 6, 4
2021/4/9, 36, 44, 6, 8, 5
2021/4/10, 43, 43, 2, 7, 3
2021/4/11, 40, 41, 2, 6, 3
2021/4/12, 27, 31, 3, 5, 3
2021/4/13, 15, 35, 2, 5, 3
2021/4/14, 16, 30, 3, 5, 3
2021/4/15, 12, 26, 4, 5, 4
2021/4/16, 13, 32, 3, 6, 4
2021/4/17, 32, 32, 3, 6, 5
2021/4/18, 40, 31, 6, 7, 5
2021/4/19, 46, 36, 6, 7, 5
2021/4/20, 42, 42, 5, 6, 4
2021/4/21, 40, 39, 4, 7, 4
2021/4/22, 40, 33, 3, 4, 3
2021/4/23, 22, 39, 3, 5, 4
2021/4/24, 30, 34, 4, 7, 4
2021/4/25, 41, 38, 3, 6, 4
2021/4/26, 26, 31, 5, 8, 5
2021/4/27, 28, 44, 2, 9, 3
2021/4/28, 33, 36, 6, 9, 5
2021/4/29, 39, 36, 6, 8, 5
2021/4/30, 33, 35, 5, 8, 6
2021/5/1, 37, 36, 2, 7, 5
2021/5/2, 13, 37, 2, 6, 4
2021/5/3, 13, 47, 3, 7, 4
2021/5/4, 22, 45, 2, 8, 2
2021/5/5, 19, 38, 1, 7, 1
2021/5/6, 14, 35, 2, 7, 2
2021/5/7, 9, 36, 3, 6, 2
2021/5/8, 14, 39, 5, 6, 3
2021/5/9, 23, 38, 5, 4, 2
2021/5/10, 22, 45, 3, 4, 2
2021/5/11, 25, 42, 4, 4, 2
2021/5/12, 23, 30, 3, 5, 3
2021/5/13, 17, 30, 3, 4, 7
2021/5/14, 5, 36, 2, 4, 5
2021/5/15, 10, 30, 4, 4, 5
2021/5/16, 10, 31, 5, 5, 5
2021/5/17, 8, 31, 4, 4, 4
2021/5/18, 6, 35, 3, 4, 4
2021/5/19, 13, 38, 3, 4, 1
2021/5/20, 18, 42, 2, 4, 1
2021/5/21, 21, 42, 3, 5, 1
2021/5/22, 11, 34, 2, 4, 1
2021/5/23, 14, 41, 2, 3, 1
2021/5/24, 10, 33, 3, 4, 1
2021/5/25, 10, 37, 3, 4, 1
2021/5/26, 17, 28, 5, 5, 1
2021/5/27, 21, 37, 2, 4, 1
2021/5/28, 15, 32, 3, 4, 1
2021/5/29, 15, 29, 2, 3, 1
2021/5/30, 13, 30, 4, 4, 1
2021/5/31, 19, 37, 3, 4, 1
2021/6/1, 24, 38, 4, 4, 1
2021/6/2, 25, 40, 4, 3, 1
2021/6/3, 23, 43, 7, 4, 2
2021/6/4, 25, 36, 6, 4, 2
2021/6/5, 23, 42, 3, 4, 1
2021/6/6, 19, 46, 3, 4, 1
2021/6/7, 21, 49, 3, 4, 1
2021/6/8, 29, 46, 3, 4, 2
2021/6/9, 29, 41, 2, 4, 1
2021/6/10, 28, 44, 2, 4, 1
2021/6/11, 26, 37, 3, 4, 1
2021/6/12, 16, 28, 1, 3, 1
2021/6/13, 11, 32, 2, 4, 1
2021/6/14, 17, 41, 3, 4, 1
2021/6/15, 22, 40, 3, 4, 2
2021/6/16, 23, 46, 4, 4, 1
2021/6/17, 22, 43, 5, 4, 2
2021/6/18, 21, 42, 4, 4, 1
2021/6/19, 22, 44, 3, 5, 1
2021/6/20, 18, 39, 3, 2, 1
2021/6/21, 26, 41, 3, 1, 2
2021/6/22, 28, 32, 2, 1, 2
2021/6/23, 34, 49, 2, 1, 1
2021/6/24, 40, 28, 3, 1, 2
2021/6/25, 20, 41, 2, 1, 1
2021/6/26, 18, 39, 1, 1, 1
2021/6/27, 16, 42, 2, 2, 1
2021/6/28, 18, 56, 3, 2, 2
2021/6/29, 19, 40, 2, 2, 1
2021/6/30, 20, 30, 3, 2, 2
2021/1/4, 70, 4, 9, 2, 10
2021/1/5, 30, 12, 10, 3, 8
2021/1/6, 47, 22, 10, 2, 8
2021/1/7, 23, 22, 11, 2, 7
2021/1/8, 43, 15, 8, 2, 7
2021/1/9, 44, 14, 14, 2, 10
2021/1/10, 78, 16, 18, 2, 13
2021/1/11, 86, 18, 19, 6, 12
2021/1/12, 73, 26, 4, 3, 5
2021/1/13, 14, 23, 6, 2, 6
2021/1/14, 22, 21, 6, 1, 6
2021/1/15, 27, 22, 6, 1, 6
2021/1/16, 18, 22, 10, 1, 8
2021/1/17, 35, 21, 15, 1, 11
2021/1/18, 100, 19, 8, 3, 7
2021/1/19, 53, 21, 16, 6, 12
2021/1/20, 36, 19, 20, 7, 15
2021/1/21, 117, 29, 7, 10, 8
2021/1/22, 91, 33, 1, 8, 5
2021/1/23, 55, 25, 7, 5, 8
2021/1/24, 41, 26, 5, 4, 7
2021/1/25, 27, 26, 6, 2, 6
2021/1/26, 28, 24, 6, 2, 6
2021/1/27, 28, 23, 11, 4, 10
2021/1/28, 66, 19, 9, 4, 9
2021/1/29, 46, 22, 4, 4, 7
2021/1/30, 21, 25, 12, 4, 9
2021/1/31, 68, 27, 21, 6, 13
2021/2/1, 109, 20, 20, 12, 15
2021/2/2, 131, 26, 12, 7, 12
2021/2/3, 64, 30, 3, 2, 4
2021/2/4, 15, 20, 6, 2, 5
2021/2/5, 43, 24, 5, 2, 5
2021/2/6, 44, 23, 4, 3, 4
2021/2/7, 44, 8, 12, 4, 8
2021/2/8, 48, 25, 12, 4, 7
2021/2/9, 70, 22, 13, 2, 9
2021/2/10, 55, 26, 6, 1, 5
2021/2/11, 44, 29, 4, , 3
2021/2/12, 26, 30, 9, , 4
2021/2/13, 36, 30, 6, , 4
2021/2/14, 36, 32, 12, 2, 6
2021/2/15, 60, 25, 20, 4, 11
2021/2/16, 82, 26, 12, 4, 9
2021/2/17, 41, 24, 12, 4, 5
2021/2/18, 41, 18, 19, 5, 8
2021/2/19, 57, 32, 15, 4, 8
2021/2/20, 71, 36, 20, 7, 9
2021/2/21, 71, 34, 18, 7, 8
2021/2/22, 81, 31, 16, 5, 7
2021/2/23, 88, 23, 12, 3, 6
2021/2/24, 78, 23, 14, 5, 7
2021/2/25, 86, 30, 10, 6, 6
2021/2/26, 76, 27, 5, 3, 3
2021/2/27, 19, 32, 4, 3, 4
2021/2/28, 27, 28, 7, 2, 5
2021/3/1, 41, 34, 11, 3, 6
2021/3/2, 53, 32, 12, 5, 6
2021/3/3, 70, 32, 6, 4, 5
2021/3/4, 40, 28, 3, 4, 4
2021/3/5, 24, 31, 6, 3, 4
2021/3/6, 36, 34, 7, 4, 5
2021/3/7, 38, 27, 7, 5, 5
2021/3/8, 49, 34, 6, 5, 5
2021/3/9, 55, 36, 8, 5, 6
2021/3/10, 51, 34, 8, 6, 6
2021/3/11, 58, 30, 6, 6, 5
2021/3/12, 33, 35, 2, 6, 3
2021/3/13, 47, 32, 3, 5, 3
2021/3/14, 19, 28, 5, 5, 4
2021/3/15, 38, 25, 5, 6, 5
2021/3/16, 44, 29, 3, 6, 3
2021/3/17, 28, 29, 5, 7, 4
2021/3/18, 36, 33, 6, 8, 5
2021/3/19, 49, 29, 7, 8, 6
2021/3/20, 42, 31, 6, 8, 6
2021/3/21, 34, 34, 3, 6, 4
2021/3/22, 26, 30, 5, 7, 4
2021/3/23, 39, 23, 6, 6, 5
2021/3/24, 41, 28, 7, 6, 7
2021/3/25, 56, 40, 10, 6, 7
2021/3/26, 64, 43, 5, 7, 5
2021/3/27, 46, 34, 3, 4, 4
2021/3/28, 27, 34, 5, 7, 4
2021/3/29, 44, 22, 8, 3, 5
2021/3/30, 34, 29, 5, 4, 4
2021/3/31, 40, 42, 5, 5, 4
2020/10/1, 12, 39, 3, 4, 3
2020/10/2, 13, 39, 1, 5, 1
2020/10/3, 18, 34, 1, 4, 1
2020/10/4, 12, 37, 4, 3, 1
2020/10/5, 9, 29, 5, 4, 1
2020/10/6, 20, 24, 5, 4, 1
2020/10/7, 22, 18, 6, 2, 2
2020/10/8, 22, 22, 6, 3, 3
