year,month,city,station_name,station_lat,station_lon,pm25,pm10,o3,no2,so2,co
2018,11,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,25.833333333333332,12.724137931034482,8.466666666666667,7.533333333333333,5.6
2018,10,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,21.0,24.903225806451612,3.357142857142857,2.7857142857142856,2.096774193548387
2018,9,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,,31.047619047619047,2.3666666666666667,1.2142857142857142,6.233333333333333
2018,8,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,,30.055555555555557,3.1666666666666665,1.1111111111111112,3.5
2018,7,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,,31.541666666666668,1.875,1.0833333333333333,2.2916666666666665
2018,6,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,33.142857142857146,36.43333333333333,1.3703703703703705,1.0,1.1875
2018,5,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,14.413793103448276,41.064516129032256,1.5517241379310345,1.25,1.625
2018,4,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,10.2,36.833333333333336,4.35,2.090909090909091,4.1
2018,3,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,10.258064516129032,30.483870967741936,2.0,2.096774193548387,4.964285714285714
2018,2,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,9.571428571428571,25.892857142857142,8.272727272727273,3.5,3.5
2018,1,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,8.709677419354838,18.193548387096776,7.129032258064516,2.7096774193548385,4.838709677419355
2017,12,Gdynia,"Gdynia Pogorze, Gdansk, Poland",54.560833333333,18.493333333333,,9.56,16.4,8.181818181818182,2.52,5.04
