city,station_name,station_id,station_lat,station_lon,station_url
Legionowo,"Zegrzyńska, Legionowo, Mazowieckie, Poland",4748,52.407648,20.955992,poland/mazowieckie/legionowo/zegrzynska
Legnica,"Legnica - Rzeczypospolitej, Poland",8130,51.2045203,16.180513,poland/dolnoslaskie/legnica-rzeczypospolitej
Łódź,"Łódź-Gdańska 16, Poland",8121,51.775411,19.4509,poland/lodz/lodz-gdanska-16
Łódź,"Łódź-Jana Pawła II 15, Poland",9038,51.754613,19.434925,poland/lodz/lodz-jana-pawla-ii-15
Łódź,"Łódź, ul. Zachodnia 40, Poland",6483,51.777685,19.4527981,poland/lodz/lodz--ul.-zachodnia-40
Łódź,"Łódź-Kilińskiego komunikacyjna, Poland",8120,51.763801,19.467132,poland/lodz/lodz-kilinskiego-komunikacyjna
Łomża,"Łomża-Miejska, Poland",6521,53.1817812,22.0566504,poland/bialystok/lomza-miejska
Lublin,"Lublin ul.Obywatelska, Poland",6480,51.258828,22.570467,poland/lublin/lublin-ul.obywatelska
Lubliniec,"Lubliniec, ul. Ks. Szymały, Poland",14915,50.675693,18.682065,poland/slaski/lubliniec--ul.-ks.-szymaly
Malbork,"Malbork, Poland",6568,54.031129,19.03278,poland/pomorski/malbork
Mielec,"Mielec-Biernackiego-WIOS, Poland",9578,50.29912,21.44101,poland/podkarpacki/mielec-biernackiego-wios
Mielec,"Mielec-MOSIR-WIOS, Poland",8240,50.300761,21.434331,poland/podkarpacki/mielec-mosir-wios
Nisko,"Nisko ul. Szklarniowa, Poland",6564,50.52989167,22.11246667,poland/podkarpacki/nisko-ul.-szklarniowa
Nowa Ruda,"Nowa Ruda - Jeziorna, Poland",14892,50.581521,16.498239,poland/dolnoslaskie/nowa-ruda-jeziorna
Nowa Ruda,"Nowa Ruda - Srebrna, Poland",8125,50.579914,16.514422,poland/dolnoslaskie/nowa-ruda-srebrna
Nowy Sącz,"Nowy Sącz, Małopolska, Poland",3404,49.619281,20.714403,poland/malopolska/nowy-sacz
Nowy Targ,"Nowy Targ, Pl. Słowackiego, Małopolska, Poland",9040,49.483593,20.028785,poland/malopolska/nowy-targ--pl.-slowackiego
Nysa,"Nysa, ul. Rodziewiczówny, Poland",14907,50.4498159,17.33166168,poland/opolski/nysa--ul.-rodziewiczowny
Oława,"Oława - Żołnierzy AK, Poland",14891,50.942117,17.291315,poland/dolnoslaskie/olawa-zolnierzy-ak
Olkusz,"Olkusz,  Cegielniana, Krakow, Poland",14906,50.284,19.564044,poland/krakow/olkusz---cegielniana
Olkusz,"Olkusz, Małopolska, Poland",3408,50.277569,19.569869,poland/malopolska/olkusz
Opole,"Opole, ul. Koszyka 21, Poland",14908,50.666736,17.899137,poland/opolski/opole--ul.-koszyka-21
Opole,"Opole, Poland",6556,50.666736,17.899137,poland/opolski/opole
Oświęcim,"Oświęcim, ul. J. Bema, Małopolska, Poland",14680,50.032114,19.245392,poland/malopolska/oswiecim--ul.-j.-bema
Otwock,"Brzozowa, Otwock, Mazowieckie, Poland",9037,52.115772,21.237078,poland/mazowieckie/otwock/brzozowa
Pabianice,"Pabianice, ul. Konstantynowska, Poland",6486,51.667981,19.368683,poland/lodz/pabianice--ul.-konstantynowska
Piastów,"Pułaskiego, Piastów, Mazowieckie, Poland",8280,52.191789,20.837494,poland/mazowieckie/piastow/pulaskiego
Piła,"Piła ul. Kusocińskiego, Poland",7961,53.15440833,16.75957222,poland/wielkopolski/pila-ul.-kusocinskiego
Płock,"Gimnazjum, Płock, Mazowieckie, Poland",3878,52.556206,19.687706,poland/mazowieckie/plock/gimnazjum
Płock,"Reja, Płock, Mazowieckie, Poland",3394,52.550564,19.707589,poland/mazowieckie/plock/reja
Poznań,"Poznań 2 Ogród Botaniczny, Poland",6532,52.42031944,16.87728889,poland/wielkopolski/poznan-2-ogrod-botaniczny
Poznań,"Poznań 1 ul. Polanka, Poland",6531,52.398175,16.95951944,poland/wielkopolski/poznan-1-ul.-polanka
Poznań,"9.Poznań-Żelazna, Poland",11819,52.391778,16.99838888,poland/wielkopolski/9.poznan-zelazna
Przemyśl,"Przemyśl ul. Grunwaldzka, Poland",6565,49.78433889,22.75623889,poland/podkarpacki/przemysl-ul.-grunwaldzka
Racibórz,"Stacja mobilna Racibórz, ul. Wojska Polskiego, Poland",14917,50.091142,18.216261,poland/slaski/stacja-mobilna-raciborz--ul.-wojska-polskiego
Radom,"Tochtermana, Radom, Mazowieckie, Poland",3393,51.399089,21.147484,poland/mazowieckie/radom/tochtermana
Rybnik,"Rybnik, ul. Borki 37a, Poland",6542,50.111181,18.516139,poland/slaski/rybnik--ul.-borki-37a
Rzeszów,"Rzeszów-Piłsudskiego-WIOS, Poland",13042,50.040711,22.004364,poland/podkarpacki/rzeszow-pilsudskiego-wios
Rzeszów,"Rzeszów ul. Rejtana, Poland",6562,50.02424167,22.010575,poland/podkarpacki/rzeszow-ul.-rejtana
Siedlce,"Konarskiego, Siedlce, Mazowieckie, Poland",3397,52.172033,22.282236,poland/mazowieckie/siedlce/konarskiego
Skawina,"Skawina, Małopolska, Poland",3401,49.971047,19.830422,poland/malopolska/skawina
Słupsk,"Słupsk, Poland",9335,54.463341,17.046677,poland/pomorski/slupsk
Sopot,"Sopot, Gdansk, Poland",2682,54.431666666667,18.579722222222,poland/gdansk/sopot
Sosnowiec,"Sosnowiec, ul. Lubelska 51, Poland",6543,50.285956,19.184399,poland/slaski/sosnowiec--ul.-lubelska-51
Starachowice,"Starachowice, ul. Złota, Poland",14913,51.050611,21.084175,poland/swietokrzyski/starachowice--ul.-zlota
Strzelce Opolskie,"Strzelce Opolskie, ul.Kardynała Wyszyńskiego, Poland",12828,50.509334,18.288206,poland/opolski/strzelce-opolskie--ul.kardynala-wyszynskiego
Suwałki,"Suwałki ul. Pułaskiego, Poland",11818,54.116056,22.93875,poland/bialystok/suwalki-ul.-pulaskiego
Suwałki,"Suwałki-Miejska, Poland",6522,54.118099,22.936034,poland/bialystok/suwalki-miejska
Szczecin,"Szczecin ul. Piłsudskiego, Poland",6799,53.43216944,14.5539,poland/szczecinie/szczecin-ul.-pilsudskiego
Szczecin,"Szczecin ul. Łączna, Poland",8124,53.47088889,14.55625,poland/szczecinie/szczecin-ul.-laczna
Szczecinek,"Szczecinek ul. Przemysłowa, Poland",6530,53.6989,16.70457222,poland/szczecinie/szczecinek-ul.-przemyslowa
Tarnów,"Tarnów, Małopolska, Poland",3400,50.020169,21.004167,poland/malopolska/tarnow
Tarnów,"Tarnów-ul. Ks. Romana Sitko, Małopolska, Poland",8690,50.018263,20.99258,poland/malopolska/tarnow-ul.-ks.-romana-sitko
Toruń,"airp. Toruń, Poland",6797,53.012222222222,18.606111111111,poland/bydgoszcz/airp.-torun
Toruń,"Toruń-Kaszownik, Poland",8118,53.0175,18.612777777778,poland/bydgoszcz/torun-kaszownik
Toruń,"Toruń-Policja, Poland",6526,53.028611111111,18.665833333333,poland/bydgoszcz/torun-policja
Trzebinia,"Trzebinia, Małopolska, Poland",3406,50.159406,19.477464,poland/malopolska/trzebinia
Tychy,"Tychy, ul. Tołstoja 1, Poland",6547,50.099903,18.990236,poland/slaski/tychy--ul.-tolstoja-1
Ustroń,"Ustroń, Sanatoryjna 7, Poland",6548,49.71972222,18.82658333,poland/slaski/ustron--sanatoryjna-7
Wałbrzych,"Wałbrzych - Wysockiego, Poland",8127,50.768729,16.269677,poland/dolnoslaskie/walbrzych-wysockiego
Warszawa,"Marszałkowska, Warszawa, Mazowieckie, Poland",3399,52.225171,21.014783,poland/mazowieckie/warszawa/marszalkowska
Warszawa,"Ursynów, Warszawa, Mazowieckie, Poland",3392,52.160838,21.033815,poland/mazowieckie/warszawa/ursynow
Warszawa,"Targówek, Warszawa, Mazowieckie, Poland",3391,52.290915,21.042459,poland/mazowieckie/warszawa/targowek
Warszawa,"Komunikacyjna, Warszawa, Mazowieckie, Poland",3398,52.219339,21.0047,poland/mazowieckie/warszawa/komunikacyjna
Włocławek,"Włocławek-Okrzei, Poland",6525,52.658611111111,19.059166666667,poland/bydgoszcz/wloclawek-okrzei
