city,station_name,station_id,station_lat,station_lon,station_url,history_file
Częstochowa,"Częstochowa, Al. Armii Krajowej 3 (komunikacyjna), Poland",6537,50.817676,19.117426,poland/slaski/czestochowa--al.-armii-krajowej-3-komunikacyjna,"częstochowa,-al. armii krajowej 3 (komunikacyjna)-air-quality.csv"
Dąbrowa Górnicza,"Dąbrowa Górnicza, ul. Tysiąclecia 25a, Poland",6541,50.32888889,19.23111111,poland/slaski/dabrowa-gornicza--ul.-tysiaclecia-25a,"dąbrowa-górnicza, ul. tysiąclecia 25a-air-quality.csv"
Dębica,"Dębica-Grottgera-WIOS, Poland",13039,50.054786,21.416256,poland/podkarpacki/debica-grottgera-wios,"dębica-grottgera-wios-air-quality.csv"
Dzierżoniów,"Dzierżoniów - Piłsudskiego, Poland",8126,50.732817,16.64805,poland/dolnoslaskie/dzierzoniow-pilsudskiego,dzierżoniów-- piłsudskiego-air-quality.csv
Gdańsk,"Gdansk Srodmiescie, Gdansk, Poland",2677,54.353333333333,18.635277777778,poland/gdansk/gdansk-srodmiescie,"gdansk-srodmiescie, gdansk-air-quality.csv"
Gdańsk,"Gdansk Stogi, Gdansk, Poland",2678,54.367777777778,18.701111111111,poland/gdansk/gdansk-stogi,"gdansk-stogi, gdansk-air-quality.csv"
Gdańsk,"Gdansk Wrzeszcz, Gdansk, Poland",2684,54.380277777778,18.620277777778,poland/gdansk/gdansk-wrzeszcz,"gdansk-wrzeszcz, gdansk-air-quality.csv"
Gdańsk,"Gdansk Nowy Port, Gdansk, Poland",2679,54.400833333333,18.6575,poland/gdansk/gdansk-nowy-port,"gdansk-nowy port, gdansk-air-quality.csv"
Gdynia,"Gdynia Pogorze, Gdansk, Poland",2680,54.560833333333,18.493333333333,poland/gdansk/gdynia-pogorze,"gdynia-pogorze, gdansk-air-quality.csv"
Gdynia,"Gdynia Dabrowa, Gdansk, Poland",2685,54.465555555556,18.464722222222,poland/gdansk/gdynia-dabrowa,"gdynia-dabrowa, gdansk-air-quality.csv"
Gdynia,"Gdynia Srodmiescie, Gdansk, Poland",2686,54.525277777778,18.536388888889,poland/gdansk/gdynia-srodmiescie,"gdynia-srodmiescie, gdansk-air-quality.csv"
Gliwice,"Gliwice, ul. Mewy 34, Poland",6539,50.279333,18.655764,poland/slaski/gliwice--ul.-mewy-34,"gliwice,-ul. mewy 34-air-quality.csv"
Gorzów Wielkopolski,"Gorzów Wielkopolski, Poland",6560,52.73821389,15.22866667,poland/lubuski/gorzow-wielkopolski,gorzów-wielkopolski-air-quality.csv
Grudziądz,"airp. Grudziądz, Poland",6527,53.493333333333,18.761944444444,poland/bydgoszcz/airp.-grudziadz,airp.-grudziądz-air-quality.csv
