city,date,ogółem,do 1 roku,2 lata,3 lata,4-5 lat,6-7 lat,8-9 lat,10-11 lat,12-15 lat,16-20 lat
Zamość,2020,39034,294,225,302,777,973,1457,1927,6827,9497
Zamość,2021,39856,255,220,288,853,1074,1341,1955,6293,9393
Zamość,2022,40194,241,188,267,867,1095,1322,1845,5727,9199
Zielona Góra,2015,65194,3441,1392,1434,3291,3812,5011,5593,11231,13978
Zielona Góra,2016,70298,4306,1784,1411,3401,3471,5330,5857,11879,15100
Zielona Góra,2017,75175,5301,2305,1775,3184,3868,4685,6184,12928,15092
Zielona Góra,2018,80335,6117,2874,2331,3396,3854,4280,6448,13739,15083
Zielona Góra,2019,85105,6309,3522,2874,4305,3594,4557,5699,14394,15394
Zielona Góra,2020,88115,5676,3539,3413,5196,3743,4372,5087,14449,15577
Zielona Góra,2021,91363,5254,3636,3368,6016,4463,4062,5134,13882,16343
Zielona Góra,2022,93792,5365,2668,3472,6401,5057,4160,4849,13374,17296
